row_index,name,value_chain_position,semiconductor_relevance,capabilities,end_markets,india_angle,summary,technical_expertise,status,inferred_field_count,model
34,ALIGNED TEST PTE LTD,Test & Measurement,High,precision test and measurement instrumentation | automated integrated test systems | probing system solutions for Memory and RF/High Frequency testing,Memory | High Power | MEMS | Silicon Photonics | RF/High Frequency,,"Aligned Test PTE LTD specializes in providing precision test and measurement solutions, including automated integrated test systems and probing accessories, for the semiconductor industry. Their offerings are tailored to support various applications such as Memory, High Power, MEMS, and RF/High Frequency testing, serving markets that include wafer foundries, IDMs, and research institutions.",precision test and measurement | RF/High Frequency testing | Silicon Photonics testing,ok,0,gpt-4o
35,ALLIED RESOURCING,Equipment,Medium,Photomasks for lithography | Laser Direct Imager for patterning | 2D Material Detection and Transfer System,Semiconductor | Microelectronics | MEMS,"Adepth Consulting Engineers, a division of Allied Resourcing, is based in Chennai, India, and provides high-tech scientific instruments to premier Indian R&D institutions.","Allied Resourcing, through its division Adepth Consulting Engineers, supplies high-tech equipment and instruments for advanced R&D applications, including semiconductor manufacturing. Their offerings include photomasks, laser direct imagers, and systems for 2D material detection, catering to the needs of semiconductor and microelectronics research and development.",Photolithography | Laser Direct Imaging | 2D Material Detection,ok,0,gpt-4o
36,AMD India Private Limited,Other,,,,,,,empty-input,0,gpt-4o
37,Ami Polymer,Other,None,,,,"Ami Polymer specializes in manufacturing silicone products such as tubings, hoses, and gaskets primarily for the pharmaceutical industry. Their offerings include a range of silicone-based products and assemblies, but there is no specific indication of involvement in the semiconductor value chain.",,ok,0,gpt-4o
38,Amity University Uttar Pradesh Noida,Other,None -- Amity University is an educational institution with no direct involvement in the semiconductor industry,,,,"Amity University Uttar Pradesh Noida is a leading private educational institution in India, offering a wide range of undergraduate, postgraduate, and doctoral programs. It is recognized for its industry-focused curriculum and research excellence but does not have a direct role in the semiconductor value chain.",,ok,0,gpt-4o
39,Ample Semiconductors Private Limited,Design Services,High,VLSI Design | Embedded Systems | AI/ML Solutions,Automotive | Industrial Applications | IoT,"Ample Semiconductors is based in Bengaluru, India, and expanded operations to Hyderabad in 2025 to enhance market presence and capacity.","Ample Semiconductors Private Limited specializes in providing design services within the semiconductor ecosystem, focusing on VLSI design, embedded systems, and AI/ML solutions. The company supports clients in developing custom silicon solutions and advancing applications in automotive, industrial, and IoT sectors.",ASIC design | FPGA development | RTL design,ok,0,gpt-4o
40,ANANANT SYSTEMS PRIVATE LIMITED,Design Services,Medium,Deterministic compute for industrial edge | Connectivity and perception silicon design,Industrial Edge | AI Inference,,"Ananant Systems Private Limited specializes in designing deterministic compute and connectivity solutions for industrial edge applications. Their products focus on overcoming power, latency, and cost constraints, with a strong emphasis on real-time signal processing and AI inference.",Real-time signal processing | AI inference on live sensor streams | Dense linear algebra for MIMO and vision pipelines,ok,0,gpt-4o
41,Andhra Pradesh Economic Development Board - Govt of Andhra Pradesh,Other,None,,,,The Andhra Pradesh Economic Development Board is a government entity focused on promoting economic development in the state of Andhra Pradesh. It does not have a direct role in the semiconductor value chain.,,ok,0,gpt-4o
42,ANEMO PRIME,Facility & Infrastructure,Low,HVAC solutions for cleanrooms | Turnkey solutions for industrial facilities,Pharma | Healthcare | Data Centers,"Anemo Prime has a manufacturing unit in Bawal, Haryana, and a corporate office in Gurugram, indicating a strong presence in India.","Anemo Prime specializes in providing HVAC engineering and turnkey solutions, focusing on energy-efficient systems for cleanrooms and industrial facilities. While their core business is not centered on semiconductors, their solutions can support semiconductor manufacturing environments.",Industrial air management | Energy-efficient HVAC systems,ok,0,gpt-4o
43,Anora Instrumentation Private Limited,Other,,,,,,,empty-input,0,gpt-4o
44,Ansell India Protective Products Pvt Ltd,Other,,,,,,,empty-input,0,gpt-4o
45,APK AQUATECH PVT. LTD.,Facility & Infrastructure,Medium,Water treatment solutions for semiconductor manufacturing | Wastewater treatment and recycling systems,Semiconductor manufacturing facilities,"APK Aquatech Pvt. Ltd. is based in India and offers water treatment solutions across various industrial sectors, including semiconductor manufacturing.","APK Aquatech Pvt. Ltd. provides advanced water treatment and wastewater management solutions tailored for semiconductor manufacturing facilities. Their offerings include systems for purified water generation and recycling, crucial for maintaining the high purity water standards required in semiconductor fabs.",Reverse osmosis systems | Ultrafiltration technology | Effluent treatment processes,ok,0,gpt-4o
46,APP SYSTEMS SERVICES PTE LTD,Distribution,Medium,vacuum technology solutions | plasma-related solutions | cryogenics for semiconductor processes,Logic | Displays | Data Storage,"APP Systems Services has sales offices and service centers in India, indicating a strategic presence in the region.","APP Systems Services Pte Ltd is a distributor and service provider specializing in high technology products for critical processes in the semiconductor industry, including vacuum and plasma technologies. They represent leading global brands and offer comprehensive solutions to meet the demands of semiconductor and adjacent industries in Southeast Asia and India.",vacuum systems | plasma technology | cryogenics,ok,0,gpt-4o
47,Applied Materials India Pvt. Ltd.,Other,,,,,,,empty-input,0,gpt-4o
48,Aquatech Systems (Asia) Pvt. Ltd.,Facility & Infrastructure,Medium,Water reuse systems | Zero liquid discharge solutions | Desalination technology,Advanced Packaging | Fab/Foundry,"Aquatech has a significant presence in India through its subsidiary, Aquatech Systems (Asia) Pvt. Ltd.","Aquatech Systems (Asia) Pvt. Ltd. provides advanced water and process technology solutions crucial for semiconductor manufacturing facilities. Their expertise in water reuse, desalination, and zero liquid discharge helps fabs and foundries reduce water risk and achieve sustainability goals.",Water treatment technology | Zero liquid discharge processes | Desalination systems,ok,0,gpt-4o
49,Arvind Envisol Limited,Other,,,,,,,empty-input,0,gpt-4o
50,ASAHI DIAMOND INDUSTRIAL INDIA PVT. LTD.,Materials,Medium,Diamond tools for semiconductor manufacturing | Synthetic diamond abrasives,Advanced Packaging | Automotive,"Asahi Diamond Industrial India Pvt. Ltd. is the Indian subsidiary, indicating a strategic presence in the Indian market.","Asahi Diamond Industrial Co., Ltd. specializes in the manufacture and sale of diamond tools and abrasives, which are critical for precision machining and polishing in semiconductor manufacturing. Their products are used in various stages of semiconductor fabrication, particularly in advanced packaging and automotive applications.",Diamond tool manufacturing | Synthetic diamond technology,ok,0,gpt-4o
51,Ascentrade India Private Limited,Equipment,Medium,Surface-Mount Technology (SMT) | Laser systems | Electronic adhesives,Automotive | Semiconductors | Solar energy,Ekoson Technology India Pvt Ltd was established in 2019 to supply equipment and chemical products related to the manufacturing industry.,"Ascentrade India Private Limited, through its subsidiary Ekoson Technology India Pvt Ltd, provides electronic manufacturing equipment and products, focusing on advanced technologies such as SMT and laser systems. The company serves key industries including semiconductors, automotive, and solar energy, offering tailored solutions to enhance manufacturing productivity.",Surface-Mount Technology (SMT) | Dispensing technologies | Electronic adhesives,ok,0,gpt-4o
52,ASM HHV ENGINEERING PRIVATE LIMITED,Equipment,High,Design Led Manufacturing | Build to Spec | Contract Manufacturing,Solar PV | Semiconductor Equipment,ASM-HHV Engineering is India's first semiconductor and Solar PV focused equipment manufacturer.,"ASM-HHV Engineering specializes in the manufacturing of equipment for the semiconductor and solar PV industries, focusing on design-led and contract manufacturing services. They offer solutions ranging from prototyping to build-to-spec and build-to-print services, catering to the specific needs of semiconductor equipment production.",Design Led Manufacturing | Prototyping | Contract Manufacturing,ok,0,gpt-4o
53,ASM Technologies LTD,Design Services,Medium,Design and development of complex systems/sub systems | Prototyping and manufacturing for ultra-high precision chambers | Vacuum technologies and electronic motion control,Semiconductor | Solar | Display,"ASM Technologies Ltd is one of India's most reliable names in technological services, with a strong presence in engineering services and product R&D.","ASM Technologies Ltd specializes in engineering services and product R&D with a focus on semiconductor equipment. They offer design and development of complex systems, prototyping, and manufacturing for precision applications, aligning with customer needs for improved productivity and quality.",Ultra-high precision chambers | Vacuum technologies | Electronic motion control,ok,0,gpt-4o
54,ASML Technology Taiwan Ltd,Equipment,High,Lithography systems | Chip patterning optimization,Logic | Memory,,"ASML Technology Taiwan Ltd is a leading provider of lithography equipment essential for semiconductor manufacturing. Their advanced systems enable major chipmakers to produce smaller, faster, and more energy-efficient microchips. ASML's technology is critical in the chip patterning process, supporting both R&D and volume manufacturing stages.",Lithography technology | E-beam market,ok,0,gpt-4o
55,ASMPT Singapore,Equipment,High,Laser dicing | Thermo-compression bonding | Advanced packaging solutions,Advanced Packaging | AI | Smart Mobility,"ASMPT is scheduled to participate in SEMICON India 2026, indicating a strategic interest in the Indian market.","ASMPT Singapore is a leading global supplier of equipment and software solutions for semiconductor and electronics manufacturing. The company specializes in advanced packaging technologies, including laser dicing and thermo-compression bonding, catering to industries such as AI and smart mobility.",Wafer-level packaging | Hybrid bonding | Thermo-compression bonding,ok,0,gpt-4o
56,Assam Industrial Development Corporation Limited (Government of Assam),Other,,,,,,,empty-input,0,gpt-4o
57,Astec Valves & Fittings Pvt. Ltd.,Other,"None -- the company's primary focus is on valves and fittings for industrial applications, not semiconductors",,,"Astec Valves & Fittings Private Limited has its head office and manufacturing facilities in Maharashtra, India.","Astec Valves & Fittings Pvt. Ltd. specializes in the production of valves and fittings for various industrial sectors including oil & gas, petrochemical, and power plants. Their expertise lies in providing solutions for instrumentation and piping engineers to optimize process measurement and maintenance.",,ok,0,gpt-4o
58,Asterion Semitech Private Limited,Equipment,High,Custom furnace solutions for semiconductor manufacturing | Installation and commissioning support for semiconductor equipment,Labs | Fabs | Academic Institutions,Asterion Semitech Private Limited is focused on powering India's semiconductor future with its solutions and expertise.,"Asterion Semitech Private Limited provides custom equipment solutions and services for the semiconductor industry, focusing on labs, fabs, and academic institutions. They offer comprehensive support from design to installation and ongoing technical assistance, leveraging global OEM partnerships.",Process expertise in semiconductor manufacturing | Custom equipment design and integration,ok,0,gpt-4o
59,Astro Plasma Private Limited,Other,,,,,,,empty-input,0,gpt-4o
60,Atantri Communications Pvt Ltd,Design Services,High,Advanced DSP baseband | Mixed signal RF IC Front End | Sovereign Encryption,RF/5G | IoT | Defense,The company is headquartered in India and designs chipsets to be manufactured domestically in Indian semiconductor fabs.,"Atantri Communications Pvt Ltd specializes in designing advanced 4G and 5G semiconductor solutions, including mixed signal RF transceivers and DSP baseband technologies. Their products are tailored for domestic manufacturing in India and serve critical applications in RF/5G, IoT, and defense sectors.",MIMO and Beamforming | Interference Cancellation | Anti-Jamming,ok,0,gpt-4o
61,ATCO ATMOSHPERIC AND SPECILAITY GASES,Chemicals & Gases,Medium,Specialty gases for electronics | Gas handling equipment,Solar | Electronics,ATCO ASG is based in India and has been a leading player in the specialty gases industry since 2010.,"ATCO Atmospheric And Specialty Gases is a manufacturer and supplier of specialty gases, including those used in the electronics and solar industries. They focus on innovation, safety, and environmental stewardship, providing comprehensive solutions with robust logistics and after-sales support.",Specialty gas production | Gas handling technology,ok,0,gpt-4o
62,Atlas Copco India Private Limited,Equipment,Medium,Oil-free air compressors | Vacuum solutions,Electronics | Manufacturing,"Atlas Copco India offers industrial compressors and vacuum solutions, indicating a local presence in the Indian market.","Atlas Copco India provides equipment solutions such as oil-free air compressors and vacuum systems that are essential for maintaining clean and efficient manufacturing environments in the semiconductor industry. Their products ensure high-quality air and vacuum conditions, which are critical for semiconductor fabrication processes.",Oil-free compression technology | Vacuum systems,ok,0,gpt-4o
63,Automated Tooling Systems India Pvt. Ltd,Other,Low,Assembly Line Automation | Special Purpose Machines,,"The company is based in Hyderabad, India, and provides industrial automation solutions for global clients.","Automated Tooling Systems India Pvt. Ltd specializes in industrial automation and engineering services, including assembly line automation and special purpose machines. While they offer advanced engineering capabilities, their direct involvement in the semiconductor value chain appears limited.",,ok,0,gpt-4o
64,AVANT GARDE CLEANROOM & ENGG. SOLUTIONS PVT LTD,Facility & Infrastructure,High,Turnkey MEP & Cleanroom solutions | HVAC Plant Room & Air Distribution | Process Chilled Water Generation & Distribution,Semiconductor FABs | Advanced technology facilities,"Avant Garde Cleanroom & Engg. Solutions Pvt Ltd is headquartered in Delhi and has a significant presence across India, providing services to major semiconductor companies.","Avant Garde Cleanroom & Engg. Solutions Pvt Ltd specializes in providing turnkey MEP and cleanroom solutions tailored for semiconductor fabs and advanced technology facilities. They offer comprehensive services including HVAC systems, cleanroom envelopes, and process chilled water systems, serving major clients like Micron Technology and Foxconn Technology.",Cleanroom design and engineering | HVAC systems for semiconductor fabs | Gas abatement systems,ok,0,gpt-4o
65,Avcon Technics Pvt Ltd,Facility & Infrastructure,Low,,,"Avcon Technics Pvt Ltd is India's first flooring company with ISO 9001-2015 certification, indicating a strong presence in the Indian market.","Avcon Technics Pvt Ltd specializes in engineered concrete flooring solutions, offering products such as abrasion-resistant flooring and conductive flooring mortar. While their expertise lies in industrial flooring, their relevance to the semiconductor industry is minimal.",,ok,0,gpt-4o
66,Axiro Semiconductor Private Limited,Design Services,High,RF and mmWave semiconductors | 5G network solutions | Satellite communication systems,RF/5G | Satcom | Aerospace,,"Axiro Semiconductor Private Limited specializes in RF and mmWave semiconductor solutions, focusing on high-performance, low-noise components for 5G, satellite communications, and radar applications. Their products are engineered to enhance connectivity and performance across various industries, including aerospace and public communications.",RF technology | mmWave technology | Wireless infrastructure,ok,0,gpt-4o
67,AZELIS (INDIA) PRIVATE LIMITED,Chemicals & Gases,Medium,soldering materials | high-purity anodes for surface finishing | ultra-high purity MBE materials,Advanced Packaging | Surface Finishing,Azelis supports a wide range of industries in India with advanced materials and local application labs.,"Azelis is a global innovation service provider specializing in specialty chemicals, offering tailored solutions for the semiconductor industry. They provide key technologies such as soldering materials, high-purity anodes, and ultra-high purity MBE materials, supporting advanced packaging and surface finishing applications.",soldering technology | surface finishing | molecular beam epitaxy (MBE) materials,ok,0,gpt-4o
68,BABA FINE CHEMICALS,Other,,,,,,,empty-input,0,gpt-4o
